IP　相手のアドレス情報をもとにパッケトを送信する機能
IPヘッダ　IPの制御情報などを記した部分
ICMP　送信元ホストエラー情報を返したりする、IP通信を補佐するためのプロトコル
ICMPメッセージ　エラー報告や通信の情報の通知
IPアドレス　インターネットでの住所
オクテット　８びっと
ネットワーク部　ネットワークを識別するための部分
ホスト部　コンピュータを識別する部分
クラス　ネットワークを構成するパソコンの台数によって分かれる
プライベートIPアドレス　自宅や社内などのI Pアドレス
グローバルIPアドレス　インターネット接続されている機器をここに特定するためのIPアドレス
ネットワークアドレス　ホスト部が０　ネットワークそのものを表す
ブロードキャストアドレス　ネットワークに繋がっているすべての機器に届くようになっているアドレス
ループバックアドレス　そのコンピュータ自身を示すIPアドレス
サブネット　ネットワークをさらに小さなネットワークにする
サブネットマスク　ネットワークアドレスとホストアドレスを識別するための数値
プレフィックス表記　IPv4の範囲の表記　/のやつ
デフォルトゲートウェイ　家庭や社内のLANから外部ネットワークに接続する際、通信の出入り口の役割となる
IPv6　64ビットで表し、ほぼ無限に作れる
サブネットプレフィックス　どこまでがネットワークアドレスなのかわかるようにする
インターフェイスID　特定のノードのインターフェイスを識別する
ルータ　ネットワーク通信を行うための中継機器
コンソール接続　文字による対話的な操作を行う
VTY接続　操作や管理を行うための仮想的な接続口
AUX接続　音声信号のやり取り
ルーティングテーブル　ルーター内で経路情報を指し示す経路表
ネクストホップ　ルーターと同じネットワーク内の他のルーターのIPアドレス
ARPテーブル　イーサネット通信のために用いられるIPアドレスとMACアドレスの対照表
ARP IPアドレスからネットワーク上のMACアドレスを求めるためのプロトコル
コアルータ　ネットワークの核。大規模なデータの処理
センタールータ　本社を中心に支店やプロバイダをスター型に繋ぐ
エッジルータ　端。複数のネットワークにパケットを分散させ、複数のネットワーク間の通信の流れを維持する役割
ブロードバンドルータ　ルーターの一つ。ADSLやFTTHなどの高速回線におけるインターネット接続に用いられる
ルーティング　データを転送するときその経路を導き出すこと
直接接続　ルータと隣接しているネットワークを自動で登録する方法
スタティックルーティング　同じ宛名には常に決まった経路を通過するように経路情報を定義する方法
ダイナミックルーティング　ルータで設定されたルーティングプロトコルで動的に追加されるルート
ディスタンスベクタ型　ルーター同士が宛先のネットワークまでの距離情報を交換し、経路を選ぶプロトコル
リンクステート型　ルーターの隣接情報を交換し合い、この情報の集合に基づいて経路を選択する
ハイブリット型　ディスタンスベクトとリンクステートのどちらも持つ
コネクション型通信　相手との接続を事前に確立し、通信相手ごとに通信の状態を管理すること
ACK　データを正常に受信したことを示す信号
コネクションレス型通信　相手との接続確率を行わずデータを送信する方式
TCP　1対1のセッションによる信頼性の高い通信を行うためのプロトコル
スリーウェイハンドシェイク　接続を確率するための手順
Telnet　コンピュータを遠隔操作するための仕組み
HTTP　ホームページを環境に依らず問題なく表示するための通信規格
FTP　ファイルを転送するための通信規格
SMTP　Eメールメッセージを送受信するために使用される通信プロトコル
TCPヘッダ　TCPが利用するための制御情報などを埋め込んだ部分のこと
UDP　時間を重視した通信に使用される通信プロトコル
RTP　音声や映像などの各種リアルタイムメディアを転送するためのパケット化規格
SNMP　TCP/IPネットワーク環境の監視・管理を担う
DHCP　通信する際に必要な設定情報を自動的に割り当てる機能
TFTP　特定のコンピュータ間でファイル転送するときに使用するアプリケーション層プロトコル
RIP　小規模なネットワーク用に設計されたシンプルなダイナミックルーティングプロトコル
UDPヘッダ　データの送受信に必要な情報を含んでいる
